sample1.wav	Hi there, thank you for calling Contoso, my name is Sam, how can I help you today?
sample1.wav	Hi Sam, I am calling to cancel my Contoso insurance.
sample1.wav	It is due to end soon.
sample1.wav	I received a new quote from another company and it was a lot cheaper.
sample1.wav	That is great! But before you go ahead with canceling your insurance, let me tell you why that would be a mistake.
sample1.wav	Okay, I'm listening.
sample1.wav	Well, first of all, our policy is only $20 more than the other insurance company's policy.
sample1.wav	You also have to consider the fact that our insurance has fewer clauses than the other company.
sample1.wav	And most importantly our policy comes with bonus features like vacation flight and emergency cash.
sample1.wav	It is important that you weigh these three factors when deciding between canceling your insurance and keeping it.
sample1.wav	Okay, I understand your argument Sam. But still, I have decided to cancel my insurance from Contoso.
sample1.wav	Okay, that's fine if you've made up your mind.
sample1.wav	Before you hang up, please tell me how I can improve our service so that you might consider coming back in the future?
sample1.wav	How can we keep you as a customer?
sample1.wav	What else can we do for you?
sample1.wav	Making your policies cheaper would be great.
sample1.wav	Alright! Thank you for your feedback and we hope to earn your business in the future!
