EventTimeUtc	TxLocale	ImpressionId	AudioName	LexicalForm	DisplayForm
2025-09-05T18:07:03.123Z	en-us	4edb4e7a-37bd-415e-8327-86bfae3390d3	c5f645b2-934a-4ecc-981f-76a7636c7267_0.wav	give me a recipe for gluten free pie crust	give me a recipe for gluten free pie crust
2025-09-05T20:58:53.464Z	en-us	eb5c03e8-31ba-4e64-8a58-c50a1c251e06	7fcbfbf6-409b-4540-96a6-e31ed16bd756_0.wav	do any countries outlaw tylenol	do any countries outlaw tylenol
2025-09-03T22:44:31.676Z	en-us	2341f24f-924a-42fd-84f0-5bfede699ea8	431670d4-83b7-4586-a33f-ff578eb599d4_0.wav	during games does the home team wear dark or light colors	during games does the home team wear dark or light colors
2025-08-31T13:53:02.869Z	en-us	983d1693-a309-4334-88f4-2a8190b3187d	b60b3020-6daf-41d4-aa1b-6217187f055b_0.wav	what's john mccain 's daughters name	what's john mccain's daughters name
2025-09-01T15:54:42.511Z	en-us	bfc577fb-0706-42a0-a644-87f5759b9afb	b238e33a-fb70-48e5-82f2-a8b9bb793ec2_0.wav	crossword answer for a person is down for the count	crossword answer for a person is down for the count
2025-09-04T14:34:12.824Z	en-us	64374e97-b133-46dd-b4ca-3b661877aa9f	0593084b-a999-4a61-90e4-3288c689e735_0.wav	how do you spell normal	how do you spell normal
2025-09-02T13:32:37.518Z	en-us	eeedb7e3-ff39-4866-b78a-a93642efed90	82d66285-e51f-4773-a68b-f228d3dc7371_0.wav	if a threat is real is it a phobia or situational awareness	if a threat is real is it a phobia or situational awareness
2025-09-01T23:52:35.077Z	en-us	7678f162-0195-4077-b4db-f8fc1cfb4bb2	e38f0475-83a8-4e22-9c90-c5f97663f146_0.wav	why are my beef steak tomatoes going rotten on the vine	why are my beef steak tomatoes going rotten on the vine
2025-08-31T01:38:32.044Z	en-us	31c04733-d4eb-42d7-ba3d-03f4a6f236b8	3c4c8662-c2f6-4328-999f-38546963c265_0.wav	how many maze runner movies are there	how many maze runner movies are there
2025-09-04T23:58:08.988Z	en-us	d0c85884-defc-4dac-9b07-d8131265bafa	4c9d9359-e343-4afb-ad04-166b9d67cfc0_0.wav	how to set default for messages on a samsung phone	how to set default for messages on a samsung phone
2025-09-06T00:37:44.636Z	en-us	a25e6024-4d00-4694-9188-3d002150be4a	b24475be-9cdb-4d62-bcef-e93e7e5aa11c_0.wav	healthy restaurants to eat in kailua kona or closer to the airport	healthy restaurants to eat in kailua kona or closer to the airport
2025-09-03T02:34:14.602Z	en-us	6ecf87ee-ea3d-4829-b87d-ba9dee117903	397ee698-6da9-4560-b1c1-d43ae66d49b9_0.wav	can you see the northern lights in east texas	can you see the northern lights in east texas
2025-09-04T17:08:05.603Z	en-us	c2a5b59f-4e47-433c-ae0c-5553171edf23	3ebb9d8f-4fc9-4595-afcd-353f946b4b93_0.wav	what time is tonight's yankee game	what time is tonight's yankee game
2025-09-04T23:16:30.646Z	en-us	d815ec6b-1618-4ab8-8ed1-65ecc2fe8646	fdd61ead-7b2b-4d08-8875-f17fe316c51d_0.wav	what channel is comedy central columbia south carolina	what channel is comedy central columbia SC
2025-09-04T23:55:32.653Z	en-us	b14ddd93-6448-459b-8d85-341b15fa69ab	32e8280d-f5fe-4ba5-bfc4-ab7ede3fe8e9_0.wav	where do black panthers live	where do black panthers live
2025-09-05T22:29:16.545Z	en-us	2ceaac2a-8832-4a23-bd21-6823c55c11da	420250aa-3089-46dc-a57c-dbaf273a350c_0.wav	how much do flight attendants make in annual salary	how much do flight attendants make in annual salary
2025-08-31T15:19:56.57Z	en-us	fc0059e3-44e7-4100-8708-eca53f3446ac	d485d556-6041-4f04-b36a-fddbad7b067a_0.wav	how to replace spark plugs twenty fifteen lexus RX three fifty	how to replace spark plugs 2015 lexus RX350
2025-09-05T02:51:39.058Z	en-us	b9893a7e-9c5a-4bad-9bca-ef12f0b433b9	d55d4ff1-db7a-49a0-b730-d3d438075d06_0.wav	is there something that removes paint and also hardens rotted wood at the same time	is there something that removes paint and also hardens rotted wood at the same time
2025-08-31T02:53:25.048Z	en-us	1bfed7af-b71b-46c7-b7f4-da4563b97910	20220875-bbd4-42fa-8772-a368313561f7_0.wav	can you read this code	can you read this code
2025-09-02T16:30:28.033Z	en-us	25d84ef5-643b-45ed-b803-f2bb09fb0532	64753b91-dfb2-4f0c-aed3-df7fa0c8fbdf_0.wav	camden south carolina where to take a baby wild squirrel	camden SC where to take a baby wild squirrel
2025-09-05T21:24:46.909Z	en-us	b05aaf6b-52ae-4950-9950-05faf505ca33	ce979c28-cf57-4e93-91f2-abd206409aeb_0.wav	what are the friday hours for jenny 's java manitowoc	what are the friday hours for jenny's java manitowoc
2025-09-06T01:18:10.652Z	en-us	8ba59051-358b-4791-a361-3e1e1689def9	de0339aa-2230-42fc-aa37-622a838c01b1_0.wav	where can i stream kansas city charger game	where can i stream kansas city charger game
2025-09-01T21:25:08.198Z	en-us	6ae573ac-c03e-4474-a8e4-7bf6a01a6156	7db1dc8c-0039-4883-9989-f3d0124dd632_0.wav	first john chapter four verse four king james version	first john chapter 4 verse 4 king james version
2025-09-03T15:11:41.444Z	en-us	e7308212-8712-42b4-a049-9ecc5647bf4c	4d120c61-193d-48a7-89ab-f8396ba2f06e_0.wav	graphic design jobs around the city of ottumwa iowa	graphic design jobs around the city of ottumwa IA
2025-08-31T15:37:05.921Z	en-us	84531599-f59e-4ea8-9722-f96772d89c63	dbc5279c-b4a9-4355-8842-856563932b60_0.wav	what route did scottsbluff pioneers navigate	what route did scottsbluff pioneers navigate
2025-09-04T14:43:05.67Z	en-us	b0308b8a-6ed8-4984-9808-0647a023fe21	f424ba85-d55d-4136-9059-5434277ab9d7_0.wav	is there any kansas city local channel carrying the chiefs game	is there any kansas city local channel carrying the chiefs game
2025-09-04T16:32:27.177Z	en-us	fd7d085f-174b-4c46-9b31-a13706cd6116	a8c30c95-6e6c-47b9-97b8-7c28b70cf611_0.wav	phone number for chase customer service	phone number for chase customer service
2025-09-02T15:34:59.571Z	en-us	c5536806-9cba-4286-b56f-8d1564b23fbc	f5ebfe49-7a1b-43dc-a3f7-8fdc329ce374_0.wav	i don't have my passport with me can i open a bank account in bank of america	i don't have my passport with me can i open a bank account in bank of america
2025-09-02T01:30:16.646Z	en-us	3a7049c7-b97e-41f1-8b9b-738254272c67	bca783ba-f114-45eb-9ec9-5ea03146073f_0.wav	how much does it cost to heat up a pool	how much does it cost to heat up a pool
2025-08-31T21:58:40.76Z	en-us	a2522727-49d2-44c2-9b88-0d38b75db43e	cd57a40a-220c-4d07-8afe-288cd48e85b3_0.wav	what time will it be getting dark	what time will it be getting dark
2025-09-03T20:11:51.784Z	en-us	bc81143b-401a-4b06-aa2e-4fd7caa55e2b	1fdc7971-4ca3-44ca-89d3-7d3fda6baf2c_0.wav	how do i remove rust from screws	how do i remove rust from screws
2025-09-03T14:41:37.741Z	en-us	d3fcb401-97f0-451e-a883-719882dbef80	4f16dd69-38d8-49ee-b01f-4f710c384b1b_0.wav	what is the forecast for the next few days	what is the forecast for the next few days
2025-08-31T01:20:56.979Z	en-us	6a25e570-5d85-4968-92f3-ba1af102626f	bca5da69-c563-4737-b26b-bde773ee398a_0.wav	how do i learn to play drums in the style of meg white	how do i learn to play drums in the style of meg white
2025-09-04T16:04:23.056Z	en-us	edfe13ba-faac-4919-b7bf-89b43a292e1a	47379c2e-49a5-450d-a2c7-f1cae9b7488c_0.wav	according to rick steves where is the best place in europe to celebrate christmas	according to rick steves where is the best place in europe to celebrate christmas
2025-09-01T19:38:45.629Z	en-us	e05f792d-580b-4c08-aff7-5cae23f61b0e	6ef954d6-d557-41de-92de-aa0278f1bfb3_0.wav	can you remove a hard credit pull	can you remove a hard credit pull
2025-09-02T15:26:05.857Z	en-us	0f87ecc3-f2cb-4af6-ba62-9a1ae8ac6a2f	ad5f92c0-8120-4d19-bcf6-f5634bd03073_0.wav	what is the world 's hottest pepper	what is the world's hottest pepper
2025-09-05T20:12:37.728Z	en-us	79b69285-7171-444b-9601-833e4167316e	eb86e907-7ab8-4122-ad0b-8c7d586e4de3_0.wav	two new saints to be canonized	2 new saints to be canonized
2025-09-04T18:13:01.519Z	en-us	1027de51-5d08-468f-bbf5-777f564e5da7	415d238d-684d-4a6f-916f-cb47061efd3d_0.wav	is elvis presley live or dead	is elvis presley live or dead
2025-09-03T20:47:13.296Z	en-us	57b51ee6-4311-4391-ab33-7b3f9565e482	9e1b96ad-4e46-402f-966d-fd94ba010183_0.wav	when is going to rain in bremerton	when is going to rain in bremerton
2025-09-01T13:03:13.899Z	en-us	fcce4008-9f86-4915-82a0-6891181ad13f	f459b04f-9416-4d9b-8084-766ca908801c_0.wav	does food dye kill people	does food dye kill people
2025-09-01T15:56:53.339Z	en-us	ce8e8257-d117-4795-8df3-b2f943e5b609	7a18cbc3-083e-4d97-b5c6-a661aaebf09b_0.wav	what is the tool called that helps artist draw circle	what is the tool called that helps artist draw circle
2025-09-02T20:46:39.09Z	en-us	b730091c-4567-4523-b82e-d6571ec59526	d8ddd1bc-c1e1-4906-b581-94943a6ecc35_0.wav	nearest circle K gas station	nearest circle K gas station
2025-08-31T03:38:43.773Z	en-us	e4d335ea-0bee-437f-be7c-9d3a9b76d150	352bd63d-80f1-4f56-a410-7cc79c9412a9_0.wav	what day of the week is december fourteenth nineteen seventy six	what day of the week is december 14th 1976
2025-09-02T01:23:18.308Z	en-us	de7783f8-7fc4-42ea-b97a-3ece3ead4023	05fd8cd3-d871-44f0-ac69-512c63e754fd_0.wav	what is the score of the north carolina tar heels football game tonight	what is the score of the north carolina tar heels football game tonight
2025-09-04T13:54:34.757Z	en-us	6f48b5b0-c660-4def-884a-34bde0970ea3	a3622cbf-1a3b-4c67-9bb7-30d2aedc5f3c_0.wav	did anybody win the powerball last night	did anybody win the powerball last night
2025-09-04T15:18:46.054Z	en-us	145257b6-df34-4739-b8b9-2ea94b141846	731b9b5e-badd-4961-999f-cabe8c610993_0.wav	what time does chase bank open	what time does chase bank open
2025-09-03T20:19:34.437Z	en-us	f0c42aaa-4f73-4c5d-a912-ac7110710bd0	a541ebf3-c2b4-468a-ad60-8d32800243ac_0.wav	sounds good can we start now	sounds good can we start now
2025-09-01T18:59:03.177Z	en-us	2d3c33e3-73eb-445e-9c50-7d6d668a9d5a	65ab2aa6-34db-4c4b-837c-14e63f964ffa_0.wav	what year did we land on the moon	what year did we land on the moon
2025-09-03T15:42:54.329Z	en-us	f3d6c9d2-83df-4de2-8e7b-b1c519da7c0a	1e61d58f-a141-4f6b-ab3d-910225d7cb37_0.wav	where is that bible stored what survived two fires in wisconsin	where is that bible stored what survived 2 fires in wisconsin
2025-09-02T23:30:21.76Z	en-us	f51c88ed-018d-48be-a0e4-3f5c0d06de91	c5385b32-766e-47cd-a5e8-99b120c2ba68_0.wav	what is an ischemic stroke	what is an ischemic stroke
2025-09-03T19:57:56.2Z	en-us	6b30322d-253e-466a-9084-18e3348aa0fb	e86f98a6-8568-4d4e-929d-4b415d957e8e_0.wav	give me a website for huddleston campersales	give me a website for huddleston campersales
2025-09-03T10:03:51.607Z	en-us	0bf4d241-e515-4032-a766-254f21444486	d5b7a39d-357c-45d3-940b-d16450d2889b_0.wav	display pictures of hirokuni stop	display pictures of hirokuni stop
